lat,lon,value
43.6428580571,-79.3748225605,62
43.649882,-79.383042,64
43.6603056445,-79.3782531625,25
43.6553056445,-79.3842531625,79
43.690802,-79.619905,61
43.696554,-79.616132,54
43.68939,-79.608621,77
43.685452,-79.608623,35
43.685415,-79.609657,69
43.679275,-79.609095,77
39.1528259549,-84.5147587596,40
39.1628259549,-84.5137587596,39
39.19031,-84.525535,71
39.1618259549,-84.5157587596,49
39.289013,-84.455458,69
39.1558259549,-84.5167587596,31
39.16393,-84.418361,49
39.1538259549,-84.5097587596,42
39.1568259549,-84.5167587596,57
39.060329,-84.65319,35
39.060205,-84.64998,80
40.696387,-74.174531,39
40.7171388569,-73.9579678284,51
40.743393,-73.985793,44
40.7167197133,-73.95586087,78
40.72095,-73.960117,77
40.7201388569,-73.9539678284,28
40.71495,-73.954117,48
40.7251388569,-73.9559678284,73
40.7171388569,-73.9579678284,53
40.781304,-73.868375,76
43.678337,-79.609916,67
43.683144,-79.610692,42
43.6418580571,-79.3778225605,50
43.6419729406,-79.374912467,42
43.6449729406,-79.366912467,59
43.6438580571,-79.3708225605,54
43.6428580571,-79.3758225605,41
43.6591655598,-79.3748171491,25
